"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 13 11:58:32 CST 2022","Tue Sep 13 11:58:34 CST 2022","2158","case","case02_user","TestUser","","","test_check_prize_info","个人中心页面-点击中奖记录按钮"
"passed","Tue Sep 13 11:57:40 CST 2022","Tue Sep 13 11:57:42 CST 2022","2074","case","case01_admin","Testcase","","","test_click_start_activityStatus","活动管理页面-点击启用活动按钮"
"passed","Tue Sep 13 11:57:04 CST 2022","Tue Sep 13 11:57:06 CST 2022","2080","case","case01_admin","Testcase","","","test_click_goods_template","新增商品弹框-选择商品模板"
"passed","Tue Sep 13 11:59:10 CST 2022","Tue Sep 13 11:59:11 CST 2022","1018","case","case03_employee","TestEmployee","","","test_click_use_submit","点击提交核销"
"passed","Tue Sep 13 11:56:49 CST 2022","Tue Sep 13 11:56:54 CST 2022","4464","case","case01_admin","Testcase","","","test_init_open_admin","初始化方法打开浏览器"
"passed","Tue Sep 13 11:56:56 CST 2022","Tue Sep 13 11:56:57 CST 2022","1037","case","case01_admin","Testcase","","","test_click_login_button","登录页面-点击登录按钮"
"passed","Tue Sep 13 11:57:31 CST 2022","Tue Sep 13 11:57:32 CST 2022","1039","case","case01_admin","Testcase","","","test_click_create_activity_button","新增活动页面-点击提交按钮"
"passed","Tue Sep 13 11:57:29 CST 2022","Tue Sep 13 11:57:30 CST 2022","1038","case","case01_admin","Testcase","","","test_send_Defeat_probability","新增失败提示语弹框-添加失败概率"
"passed","Tue Sep 13 11:57:30 CST 2022","Tue Sep 13 11:57:31 CST 2022","1036","case","case01_admin","Testcase","","","test_click_creat_button","新增失败提示语弹框-点击提交按钮"
"passed","Tue Sep 13 11:56:59 CST 2022","Tue Sep 13 11:57:00 CST 2022","1031","case","case01_admin","Testcase","","","test_click_create_activity","商品管理页-点击新增活动商品"
"passed","Tue Sep 13 11:57:25 CST 2022","Tue Sep 13 11:57:27 CST 2022","1045","case","case01_admin","Testcase","","","test_click_Defeat_ext_button","新增活动页-点击新增失败提示语"
"passed","Tue Sep 13 11:59:06 CST 2022","Tue Sep 13 11:59:07 CST 2022","1020","case","case03_employee","TestEmployee","","","test_click_login_button","登录页面-点击登录按钮"
"passed","Tue Sep 13 11:57:17 CST 2022","Tue Sep 13 11:57:18 CST 2022","1038","case","case01_admin","Testcase","","","test_click_create_goods3","新增活动页面-点击新增活动商品3"
"passed","Tue Sep 13 11:57:47 CST 2022","Tue Sep 13 11:57:50 CST 2022","3119","case","case01_admin","Testcase","","","test_close_driver","关闭浏览器"
"passed","Tue Sep 13 11:57:32 CST 2022","Tue Sep 13 11:57:34 CST 2022","2091","case","case01_admin","Testcase","","","test_get_activityName_list","活动管理页-根据活动名称模糊搜索"
"passed","Tue Sep 13 11:57:15 CST 2022","Tue Sep 13 11:57:16 CST 2022","1028","case","case01_admin","Testcase","","","test_click_probability2","新增商品弹框-输入中奖概率2"
"passed","Tue Sep 13 11:57:42 CST 2022","Tue Sep 13 11:57:47 CST 2022","4550","case","case01_admin","Testcase","","","test_clear_activity_list","商品管理页-重置搜索内容"
"passed","Tue Sep 13 11:57:01 CST 2022","Tue Sep 13 11:57:02 CST 2022","1045","case","case01_admin","Testcase","","","test_click_create_goods","新增活动页面-点击新增活动商品"
